,file,v,R,maxFR,timingFR,spikes,stimulus,repet,delta,m,S,pval,R2,adjR,mu,NPTS,TPTS,residuals,keeppoints,var,treac
0,2AP4,40,7.5,,,,,,0.10180360721442885,,1.3393112116861932e-09,,,,1.714952990987794e-09,4,4,,0,1.3393112116861932e-09,0.0020000000000000018
1,2AP4,5,7.5,,,,,,0.10180360721442885,,1.3393112116861932e-09,,,,1.714952990987794e-09,4,4,,0,1.3393112116861932e-09,0.016000000000000014
2,2AP4,20,7.5,,,,,,0.10180360721442885,,1.3393112116861932e-09,,,,1.714952990987794e-09,4,4,,0,1.3393112116861932e-09,0.0020000000000000018
3,2AP4,10,7.5,,,,,,0.10180360721442885,,1.3393112116861932e-09,,,,1.714952990987794e-09,4,4,,0,1.3393112116861932e-09,0.010000000000000009
4,3AP1,5,7.5,,,,,,0.11022044088176353,,1.0535435397294552e-09,,,,1.62236480073731e-09,4,4,,0,1.0535435397294552e-09,0.008000000000000007
5,3AP1,10,7.5,,,,,,0.11022044088176353,,1.0535435397294552e-09,,,,1.62236480073731e-09,4,4,,0,1.0535435397294552e-09,0.014000000000000012
6,3AP1,20,7.5,,,,,,0.11022044088176353,,1.0535435397294552e-09,,,,1.62236480073731e-09,4,4,,0,1.0535435397294552e-09,0.015999999999999986
7,3AP1,40,7.5,,,,,,0.11022044088176353,,1.0535435397294552e-09,,,,1.62236480073731e-09,4,4,,0,1.0535435397294552e-09,0.016
8,4AP2,40,7.5,,,,,,0.2,,,,,,,0,4,,0,,19.898
9,4AP2,20,7.5,,,,,,0.2,,,,,,,0,4,,0,,19.798000000000002
10,4AP2,10,7.5,,,,,,0.2,,,,,,,0,4,,0,,19.598000000000003
11,4AP2,5,7.5,,,,,,0.2,,,,,,,0,4,,0,,19.198
12,5M1,20,7.5,,,,,,0.11382765531062124,,5.656126139427822e-10,,,,9.74687670931105e-10,3,4,,0,5.656126139427822e-10,0.01999999999999999
13,5M1,5,7.5,,,,,,0.11382765531062124,,5.656126139427822e-10,,,,9.74687670931105e-10,3,4,,0,5.656126139427822e-10,0.44599999999999995
14,5M1,40,7.5,,,,,,0.11382765531062124,,5.656126139427822e-10,,,,9.74687670931105e-10,3,4,,0,5.656126139427822e-10,0.01999999999999999
15,5M1,10,7.5,,,,,,0.11382765531062124,,5.656126139427822e-10,,,,9.74687670931105e-10,3,4,,0,5.656126139427822e-10,-0.0040000000000000036
16,5AP2,40,7.5,,,,,,0.2,,4.509572030265152e-10,,,,6.733755382785155e-10,3,4,,0,4.509572030265152e-10,0.932
17,5AP2,10,7.5,,,,,,0.2,,4.509572030265152e-10,,,,6.733755382785155e-10,3,4,,0,4.509572030265152e-10,0.010000000000000009
18,5AP2,5,7.5,,,,,,0.2,,4.509572030265152e-10,,,,6.733755382785155e-10,3,4,,0,4.509572030265152e-10,-0.006000000000000005
19,5AP2,20,7.5,,,,,,0.2,,4.509572030265152e-10,,,,6.733755382785155e-10,3,4,,0,4.509572030265152e-10,0.009999999999999981
20,5AP3,5,7.5,,,,,,0.09178356713426854,,1.8642670628631112e-10,,,,1.704663609084625e-09,3,4,,0,1.8642670628631112e-10,19.198
21,5AP3,10,7.5,,,,,,0.09178356713426854,,1.8642670628631112e-10,,,,1.704663609084625e-09,3,4,,0,1.8642670628631112e-10,-0.026000000000000023
22,5AP3,40,7.5,,,,,,0.09178356713426854,,1.8642670628631112e-10,,,,1.704663609084625e-09,3,4,,0,1.8642670628631112e-10,0.04200000000000001
23,5AP3,20,7.5,,,,,,0.09178356713426854,,1.8642670628631112e-10,,,,1.704663609084625e-09,3,4,,0,1.8642670628631112e-10,0.021999999999999992
24,6AP2,5,7.5,,,,,,0.03927855711422846,,1.4097019744500234e-10,,,,9.622797514768019e-09,3,4,,0,1.4097019744500234e-10,19.198
25,6AP2,20,7.5,,,,,,0.03927855711422846,,1.4097019744500234e-10,,,,9.622797514768019e-09,3,4,,0,1.4097019744500234e-10,0.017999999999999988
26,6AP2,10,7.5,,,,,,0.03927855711422846,,1.4097019744500234e-10,,,,9.622797514768019e-09,3,4,,0,1.4097019744500234e-10,0.019999999999999962
27,6AP2,40,7.5,,,,,,0.03927855711422846,,1.4097019744500234e-10,,,,9.622797514768019e-09,3,4,,0,1.4097019744500234e-10,0.023999999999999994
28,7AP4,40,7.5,,,,,,0.06372745490981964,,8.30930937838863e-14,,,,4.177084978226292e-09,2,4,,0,8.30930937838863e-14,19.898
29,7AP4,20,7.5,,,,,,0.06372745490981964,,8.30930937838863e-14,,,,4.177084978226292e-09,2,4,,0,8.30930937838863e-14,0.01999999999999999
30,7AP4,5,7.5,,,,,,0.06372745490981964,,8.30930937838863e-14,,,,4.177084978226292e-09,2,4,,0,8.30930937838863e-14,-0.006000000000000005
31,7AP4,10,7.5,,,,,,0.06372745490981964,,8.30930937838863e-14,,,,4.177084978226292e-09,2,4,,0,8.30930937838863e-14,
32,8AP2,10,7.5,,,,,,0.03727454909819639,,2.3831407869276817e-11,,,,1.1127206482489073e-08,2,4,,0,2.3831407869276817e-11,19.598000000000003
33,8AP2,5,7.5,,,,,,0.03727454909819639,,2.3831407869276817e-11,,,,1.1127206482489073e-08,2,4,,0,2.3831407869276817e-11,19.198
34,8AP2,40,7.5,,,,,,0.03727454909819639,,2.3831407869276817e-11,,,,1.1127206482489073e-08,2,4,,0,2.3831407869276817e-11,0.023999999999999994
35,8AP2,20,7.5,,,,,,0.03727454909819639,,2.3831407869276817e-11,,,,1.1127206482489073e-08,2,4,,0,2.3831407869276817e-11,0.01999999999999999
36,9AP2,20,7.5,,,,,,0.09418837675350701,,6.095988235249557e-10,,,,8.329599484109796e-10,2,4,,0,6.095988235249557e-10,0.011999999999999983
37,9AP2,5,7.5,,,,,,0.09418837675350701,,6.095988235249557e-10,,,,8.329599484109796e-10,2,4,,0,6.095988235249557e-10,19.198
38,9AP2,10,7.5,,,,,,0.09418837675350701,,6.095988235249557e-10,,,,8.329599484109796e-10,2,4,,0,6.095988235249557e-10,19.598000000000003
39,9AP2,40,7.5,,,,,,0.09418837675350701,,6.095988235249557e-10,,,,8.329599484109796e-10,2,4,,0,6.095988235249557e-10,0.0
40,10AP4,5,7.5,,,,,,0.12785571142284569,,1.0557371570390552e-09,,,,1.0763998394010247e-09,3,4,,0,1.0557371570390552e-09,19.198
41,10AP4,40,7.5,,,,,,0.12785571142284569,,1.0557371570390552e-09,,,,1.0763998394010247e-09,3,4,,0,1.0557371570390552e-09,0.027999999999999997
42,10AP4,10,7.5,,,,,,0.12785571142284569,,1.0557371570390552e-09,,,,1.0763998394010247e-09,3,4,,0,1.0557371570390552e-09,0.03999999999999998
43,10AP4,20,7.5,,,,,,0.12785571142284569,,1.0557371570390552e-09,,,,1.0763998394010247e-09,3,4,,0,1.0557371570390552e-09,0.013999999999999985
44,11AP3,10,7.5,,,,,,0.09819639278557114,,6.462336392501488e-10,,,,8.692839414092036e-10,2,4,,0,6.462336392501488e-10,0.45399999999999996
45,11AP3,5,7.5,,,,,,0.09819639278557114,,6.462336392501488e-10,,,,8.692839414092036e-10,2,4,,0,6.462336392501488e-10,19.198
46,11AP3,20,7.5,,,,,,0.09819639278557114,,6.462336392501488e-10,,,,8.692839414092036e-10,2,4,,0,6.462336392501488e-10,0.017999999999999988
47,11AP3,40,7.5,,,,,,0.09819639278557114,,6.462336392501488e-10,,,,8.692839414092036e-10,2,4,,0,6.462336392501488e-10,0.0040000000000000036
48,11AP4,20,7.5,,,,,,0.17394789579158318,,7.276472164915894e-10,,,,7.873573110080759e-10,3,4,,0,7.276472164915894e-10,0.021999999999999992
49,11AP4,10,7.5,,,,,,0.17394789579158318,,7.276472164915894e-10,,,,7.873573110080759e-10,3,4,,0,7.276472164915894e-10,19.598000000000003
50,11AP4,5,7.5,,,,,,0.17394789579158318,,7.276472164915894e-10,,,,7.873573110080759e-10,3,4,,0,7.276472164915894e-10,0.016000000000000014
51,11AP4,40,7.5,,,,,,0.17394789579158318,,7.276472164915894e-10,,,,7.873573110080759e-10,3,4,,0,7.276472164915894e-10,0.07999999999999999
52,12AP1,40,7.5,,,,,,0.1062124248496994,,1.009735428725624e-09,,,,1.651634059090796e-09,4,4,,0,1.009735428725624e-09,0.011999999999999997
53,12AP1,10,7.5,,,,,,0.1062124248496994,,1.009735428725624e-09,,,,1.651634059090796e-09,4,4,,0,1.009735428725624e-09,0.0
54,12AP1,20,7.5,,,,,,0.1062124248496994,,1.009735428725624e-09,,,,1.651634059090796e-09,4,4,,0,1.009735428725624e-09,0.023999999999999994
55,12AP1,5,7.5,,,,,,0.1062124248496994,,1.009735428725624e-09,,,,1.651634059090796e-09,4,4,,0,1.009735428725624e-09,0.006000000000000005
56,12AP2,10,7.5,,,,,,0.03807615230460922,,3.472990114068694e-11,,,,8.080559798769488e-09,2,4,,0,3.472990114068694e-11,19.598000000000003
57,12AP2,20,7.5,,,,,,0.03807615230460922,,3.472990114068694e-11,,,,8.080559798769488e-09,2,4,,0,3.472990114068694e-11,19.798000000000002
58,12AP2,40,7.5,,,,,,0.03807615230460922,,3.472990114068694e-11,,,,8.080559798769488e-09,2,4,,0,3.472990114068694e-11,0.01999999999999999
59,12AP2,5,7.5,,,,,,0.03807615230460922,,3.472990114068694e-11,,,,8.080559798769488e-09,2,4,,0,3.472990114068694e-11,0.026000000000000023
60,13AP2,20,7.5,,,,,,0.10420841683366733,,5.406125158762986e-10,,,,7.631965839448997e-10,2,4,,0,5.406125158762986e-10,0.017999999999999988
61,13AP2,10,7.5,,,,,,0.10420841683366733,,5.406125158762986e-10,,,,7.631965839448997e-10,2,4,,0,5.406125158762986e-10,0.914
62,13AP2,40,7.5,,,,,,0.10420841683366733,,5.406125158762986e-10,,,,7.631965839448997e-10,2,4,,0,5.406125158762986e-10,0.009999999999999995
63,13AP2,5,7.5,,,,,,0.10420841683366733,,5.406125158762986e-10,,,,7.631965839448997e-10,2,4,,0,5.406125158762986e-10,19.198
64,13AP4,20,7.5,,,,,,0.17595190380761522,,1.5194804031712278e-09,,,,1.2613113887298295e-09,3,4,,0,1.5194804031712278e-09,0.032
65,13AP4,40,7.5,,,,,,0.17595190380761522,,1.5194804031712278e-09,,,,1.2613113887298295e-09,3,4,,0,1.5194804031712278e-09,0.07599999999999998
66,13AP4,5,7.5,,,,,,0.17595190380761522,,1.5194804031712278e-09,,,,1.2613113887298295e-09,3,4,,0,1.5194804031712278e-09,19.198
