,file,v,R,maxFR,timingFR,spikes,stimulus,repet,delta,m,S,pval,R2,adjR,mu,NPTS,TPTS,residuals,keeppoints,var,year
0,2023_03_02_0032,40,15,43.041056130967064,-0.0605808118934007,"[-0.10004264 -0.07294264 -0.06854264 -0.05574264 -0.04304264 -0.02434264
  0.16955736]",LOOM,0,0.03647294589178357,6.086283424452835e-10,1.7529658995454856e-10,0.3908425900946737,0.37107275004256535,0.056609125063848076,7.04164115664455e-10,4,4,"0.8905757613127013,0.4264337224687927,0.799675482215614,1.3474636811919736",4,1.7529658995454856e-10,2023
1,2023_03_02_0032,5,15,27.969363156681123,-0.5166219691364898,"[-0.58836091 -0.54846091 -0.51926091 -0.48966091 -0.45406091 -0.36586091
 -0.32496091 -0.24316091 -0.19226091 -0.02796091  0.10543909]",LOOM,0,0.03647294589178357,6.086283424452835e-10,1.7529658995454856e-10,0.3908425900946737,0.37107275004256535,0.056609125063848076,7.04164115664455e-10,4,4,"0.8905757613127013,0.4264337224687927,0.799675482215614,1.3474636811919736",4,1.7529658995454856e-10,2023
2,2023_03_02_0032,10,15,28.160281069511832,-0.3140269910820138,"[-0.40296552 -0.35716552 -0.33016552 -0.30006552 -0.25826552 -0.21586552
 -0.18656552 -0.13896552 -0.09726552 -0.06596552 -0.02516552  0.04973448]",LOOM,0,0.03647294589178357,6.086283424452835e-10,1.7529658995454856e-10,0.3908425900946737,0.37107275004256535,0.056609125063848076,7.04164115664455e-10,4,4,"0.8905757613127013,0.4264337224687927,0.799675482215614,1.3474636811919736",4,1.7529658995454856e-10,2023
3,2023_03_02_0032,20,15,38.846250554457626,-0.1391245991414526,"[-0.22916329 -0.18926329 -0.15816329 -0.13596329 -0.12266329 -0.11376329
 -0.06276329  0.09073671  0.17013671]",LOOM,0,0.03647294589178357,6.086283424452835e-10,1.7529658995454856e-10,0.3908425900946737,0.37107275004256535,0.056609125063848076,7.04164115664455e-10,4,4,"0.8905757613127013,0.4264337224687927,0.799675482215614,1.3474636811919736",4,1.7529658995454856e-10,2023
4,2023_03_02_0036,5,15,34.03722360570849,-0.12152216426710927,"[-0.78626076 -0.71146076 -0.56806076 -0.36966076 -0.32256076 -0.26836076
 -0.19196076 -0.16296076 -0.14066076 -0.11926076 -0.07986076 -0.04876076
 -0.02946076  0.03673924]",LOOM,0,0.09338677354709418,-4.324135909053882e-09,7.728661210692782e-10,0.7278123763473052,0.07408610246970115,-0.3888708462954482,2.565195336102124e-09,4,4,"0.5374768433043995,0.4060932136515842,0.8080926927319161,1.3647131412318447",4,7.728661210692782e-10,2023
5,2023_03_02_0036,40,15,22.364500319150356,0.015477234626440683,[-0.05916142 -0.00756142  0.03123858  0.06403858],LOOM,0,0.09338677354709418,-4.324135909053882e-09,7.728661210692782e-10,0.7278123763473052,0.07408610246970115,-0.3888708462954482,2.565195336102124e-09,4,4,"0.5374768433043995,0.4060932136515842,0.8080926927319161,1.3647131412318447",4,7.728661210692782e-10,2023
6,2023_03_02_0036,10,15,68.86714381696214,-0.0591289427343501,"[-0.40836741 -0.29366741 -0.14606741 -0.12946741 -0.10836741 -0.09766741
 -0.08136741 -0.06906741 -0.05966741 -0.04526741 -0.03506741 -0.02436741
 -0.01226741  0.01383259  0.03563259  0.14343259]",LOOM,0,0.09338677354709418,-4.324135909053882e-09,7.728661210692782e-10,0.7278123763473052,0.07408610246970115,-0.3888708462954482,2.565195336102124e-09,4,4,"0.5374768433043995,0.4060932136515842,0.8080926927319161,1.3647131412318447",4,7.728661210692782e-10,2023
7,2023_03_02_0036,20,15,41.39458694826523,-0.06382130745959935,[-0.11436002 -0.08536002 -0.06866002 -0.05586002 -0.04086002 -0.02986002],LOOM,0,0.09338677354709418,-4.324135909053882e-09,7.728661210692782e-10,0.7278123763473052,0.07408610246970115,-0.3888708462954482,2.565195336102124e-09,4,4,"0.5374768433043995,0.4060932136515842,0.8080926927319161,1.3647131412318447",4,7.728661210692782e-10,2023
8,2023_03_09_0001,40,15,12.766254918367505,0.02687800783995975,[-0.00606072  0.06073928],LOOM,0,0.11623246492985972,-1.7571544388597276e-09,5.964591180597223e-10,0.7859139663240909,0.04583282981508252,-0.4312507552773761,1.7808348846811447e-09,4,4,"0.06701567293867072,1.1024257877364159,0.12077974563282838,1.2053708495399882",4,5.964591180597223e-10,2023
9,2023_03_09_0001,10,15,13.781659853489721,-0.06112174766060752,[-0.15906076 -0.07766076 -0.01336076],LOOM,0,0.11623246492985972,-1.7571544388597276e-09,5.964591180597223e-10,0.7859139663240909,0.04583282981508252,-0.4312507552773761,1.7808348846811447e-09,4,4,"0.06701567293867072,1.1024257877364159,0.12077974563282838,1.2053708495399882",4,5.964591180597223e-10,2023
10,2023_03_09_0001,5,15,12.794300338213674,-0.17782397069357647,[-0.80606192 -0.69366192 -0.49706192 -0.35126192 -0.21076192 -0.14406192],LOOM,0,0.11623246492985972,-1.7571544388597276e-09,5.964591180597223e-10,0.7859139663240909,0.04583282981508252,-0.4312507552773761,1.7808348846811447e-09,4,4,"0.06701567293867072,1.1024257877364159,0.12077974563282838,1.2053708495399882",4,5.964591180597223e-10,2023
